Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,871168542;-0,318657941;0,756722091;0,742008743;1,106683415
0,881251542;-0,309233033;0,665230123;0,647089137;0,978202707
0,891335542;-0,475230077;0,731111579;0,626998689;1,074008902
0,901419542;-0,681593483;0,791445197;0,685344545;1,24926071
0,911503542;-0,780879278;0,798802164;0,709077224;1,323120498
0,921587542;-0,7715298;0,662255937;1,216591569;1,58553972
0,931671542;-0,661806579;0,648118247;1,810097991;2,033346982
0,941754708;-0,635342811;0,695188625;2,092874018;2,295009666
0,951838708;-0,697371391;0,681464333;2,660162694;2,83322891
0,961922708;-0,562969923;0,763756584;2,816624245;2,972142559
0,972006708;-0,179341906;0,767737953;2,649089237;2,763920924
0,982089708;0,16422943;0,554285931;2,443552591;2,511006464
0,992173708;0,463998453;0,300191081;2,041071196;2,114563992
1,002257708;0,670542977;0,133257168;2,003436177;2,116870773
1,012341708;0,876814838;-0,007613367;2,276892326;2,439897721
1,022425708;0,847969061;-0,149491377;2,019993153;2,195853259
1,032509708;0,708482782;-0,391780113;1,246650935;1,486464955
1,042593708;0,876430749;-0,744942876;0,358871107;1,204931208
1,052677708;0,850038098;-0,816862166;-0,347587734;1,229083317
1,062761708;0,367360789;-0,794605909;-0,508472119;1,012371669
1,072844708;0,193148717;-0,64003681;-0,285456975;0,726938257
1,082928708;0,255741736;-0,497709149;-0,402441634;0,689258661
1,093012708;0,401551542;-0,64840973;-0,712813595;1,043926262
1,103096708;0,843836907;-0,789029566;-1,177395929;1,649511914
1,113180708;1,257269479;-0,820789156;-1,394894224;2,049427061
1,123264708;1,10459517;-0,674670745;-0,894191886;1,573178386
1,133348708;1,063071314;-0,523347436;-0,518925186;1,293559626
1,143432708;1,17315275;-0,382625712;-0,66930037;1,403799415
1,153516708;0,980798505;-0,3710339;-0,854834277;1,35291297
1,163600708;0,907824596;-0,361109274;-0,969311065;1,376266452
1,173683708;0,791099334;-0,329875203;-0,743819041;1,134866764
1,183767708;0,646834783;-0,188550047;-0,501163684;0,839709113
1,193851708;0,566525688;-0,106209702;-0,627234331;0,851853721
1,203935708;0,43003713;-0,101866244;-0,899355562;1,002072398
1,214019708;0,263638145;0,010788259;-1,227900669;1,255930536
1,224103708;0,025494171;0,273996579;-1,409793515;1,436398911
1,234187708;-0,156773225;0,35065533;-1,427473741;1,478248384
1,244271708;-0,188303367;0,436662756;-1,416173996;1,49388129
1,254355708;-0,26019715;0,503074554;-1,420388085;1,529146453
1,264439708;-0,41928611;0,60259241;-1,453762237;1,628601577
1,274522708;-0,328178743;0,604348183;-1,555406726;1,700655196
1,284606708;-0,25417967;0,523381788;-1,441053314;1,554081869
1,294690708;-0,302843269;0,602525167;-1,53894506;1,68020907
1,304774708;-0,345773599;0,751935707;-1,514421253;1,725815291
1,314858708;-0,298892671;0,815107855;-1,380339335;1,630666834
1,324942708;-0,222759767;0,788190783;-1,289725619;1,52782813
1,335026708;-0,079054685;0,811753308;-1,090877602;1,362059844
1,345110708;0,058781328;0,742416147;-0,837097333;1,120432473
1,355194708;0,144506955;0,619319248;-0,813662862;1,032708015
1,365278708;0,271091262;0,637622933;-0,55870321;0,890057725
1,375362708;0,278327575;0,781680054;-0,139951937;0,841472811
1,385445708;0,195622674;1,01105653;-0,066775203;1,031970187
1,395529708;0,110742692;1,076992804;-0,21719658;1,104242635
1,405613708;0,197609668;1,051850361;-0,541476728;1,199431453
1,415697708;0,391829888;0,902184152;-0,789087015;1,261001674
1,425781708;0,46315459;0,901704388;-0,784229733;1,281639283
1,435865708;0,413370299;1,087071357;-0,594350175;1,306082413
1,445949708;0,231536657;0,997357381;-0,399267181;1,098974636
1,456033708;0,20675676;0,919992578;-0,08965068;0,94719161
1,466117708;0,417942018;0,780358584;0,31716701;0,940335026
