s;i(rlast);i(rshunt1);p(rlast);p(vin);time;v(uin);v(uout)
0,00100111996289343;4,26425322075374E-6;4,69069209430017E-6;3,27309401804143E-10;1,65156237130759E-7;0,00100111996289343;0,0351855456829071;7,67565579735674E-5
0,0010051199933514;3,29352974404173E-6;3,71924716091598E-6;1,95252078394326E-10;5,99107920606912E-7;0,0010051199933514;0,160821795463562;5,92835349380039E-5
0,00100912002380937;4,60286446468672E-6;5,0515145630925E-6;3,81354475775808E-10;1,45079491176148E-6;0,00100912002380937;0,28635647892952;8,28515549073927E-5
0,00101312005426735;4,6230134103098E-6;4,38538108937791E-6;3,84700576949726E-10;1,81594850801048E-6;0,00101312005426735;0,411710292100906;8,32142468425445E-5
0,00101711996831;9,49326567933895E-5;7,66053926781751E-6;1,62219762955829E-7;4,12748568123789E-6;0,00101711996831;0,536804020404816;0,00170878774952143
0,00102111999876797;0,00231572147458792;2,16493481275393E-5;9,65261933743022E-5;1,42743747346685E-5;0,00102111999876797;0,661558747291565;0,0416829884052277
0,00102512002922595;0,00749459583312273;5,26245712535456E-5;0,00101104145869613;4,13155503338203E-5;0,00102512002922595;0,785895586013794;0,134902730584145
0,0010291199432686;0,0134904012084007;8,59312640386634E-5;0,00327583681792021;7,81917187850922E-5;0,0010291199432686;0,909736037254333;0,242827221751213
0,00103311997372657;0,0197490267455578;0,000121680444863159;0,00702043250203133;0,000125729435239919;0,00103311997372657;1,03300189971924;0,355482459068298
0,00103712000418454;0,0261171739548445;0,000156985537614673;0,0122779216617346;0,000181292271008715;0,00103712000418454;1,15561532974243;0,470109134912491
0,00104112003464252;0,0325287580490112;0,000194289023056626;0,0190461613237858;0,000248232245212421;0,00104112003464252;1,27749872207642;0,585517644882202
0,00104511994868517;0,0389554612338543;0,000230926394579001;0,0273155011236668;0,000322776060784236;0,00104511994868517;1,39857530593872;0,701198279857635
0,00104911997914314;0,0453728325664997;0,000269118056166917;0,037056490778923;0,000408813881222159;0,00104911997914314;1,51876854896545;0,816710948944092
0,00105312000960112;0,0517665036022663;0,000307087699184194;0,0482358783483505;0,000503002956975251;0,00105312000960112;1,63800251483917;0,931797087192535
0,00105712004005909;0,0581259243190289;0,000346389570040628;0,0608152188360691;0,000608387286774814;0,00105712004005909;1,75620186328888;1,04626667499542
0,00106111995410174;0,0644424557685852;0,000385025341529399;0,0747509449720383;0,000721303571481258;0,00106111995410174;1,87329185009003;1,15996420383453
0,00106511998455971;0,0707084089517593;0,000425659498432651;0,0899942293763161;0,00084655755199492;0,00106511998455971;1,98919868469238;1,27275133132935
0,00106912001501769;0,0769175738096237;0,000464517303043976;0,106493629515171;0,000977110466919839;0,00106912001501769;2,10384917259216;1,38451623916626
0,00107312004547566;0,0830638259649277;0,000505373522173613;0,124192789196968;0,00112066313158721;0,00107312004547566;2,21717071533203;1,49514889717102
0,00107711995951831;0,0891418606042862;0,000545341521501541;0,143032878637314;0,00126941304188222;0,00107711995951831;2,32909202575684;1,60455346107483
0,00108111998997629;0,095146544277668;0,000586641835980117;0,162951558828354;0,0014308150857687;0,00108111998997629;2,43954205513;1,71263778209686
0,00108512002043426;0,101073078811169;0,000626609893515706;0,183883801102638;0,00159676792100072;0,00108512002043426;2,54845118522644;1,8193154335022
